card_no,slug,visible,association,cluster,cluster_title,section_no,card_order,connect_to,type,width,title,kicker,body,metric_value,metric_label,quote,caption,image_src,link_label,link_url,map_lat,map_lng,map_address,timeline_30,timeline_60,timeline_90,tags,notes
001,tw-creative-director-overview,show,trustwallet,trust-wallet-role,,0,1,,text-image-ext,320,We're looking for a Creative Director to own and evolve our brand identity.,Role description,"You'll lead our brand design team, set the creative vision, and ensure everything we put out into the world is cohesive, intentional, and distinctive. You'll work closely with marketing, product, and leadership to build a brand that reflects where we're going.",,,,,ds_trustwallet_cardimage_1.png,,,,,,,,,trust-wallet|creative-director|brand-identity|creative-vision|cohesion,Trust Wallet job offer item: role overview text card
002,tw-brand-creative-vision,show,trustwallet,trust-wallet-role,,0,2,,quote,320,Own brand creative vision,What’s the job?,,,,Own the brand creative vision and visual identity system,From the Trust Wallet role description.,t_cardimage_6.png,,,,,,,,,brand-vision|visual-identity|identity-system|trust-wallet,Trust Wallet job offer item: quote card
003,tw-brand-guidelines-standards,show,trustwallet,trust-wallet-role,,0,4,,quote,320,Lead the brand design team,What’s the job?,,,,Lead and mentor the brand design team (currently 2 designers),From the Trust Wallet role description.,t_cardimage_7.png,,,,,,,,,brand-guidelines|creative-standards|governance|quality-bar,Trust Wallet job offer item: quote card
004,tw-major-creative-projects,show,trustwallet,trust-wallet-role,,0,5,,quote,320,Drive major creative projects,What’s the job?,,,,"Drive major creative projects including campaigns, brand refreshes, and new product launches",From the Trust Wallet role description.,,,,,,,,,,campaigns|brand-refresh|launches|creative-projects,Trust Wallet job offer item: quote card
005,tw-tech-startup-context,show,trustwallet,trust-wallet-about,,0,6,,quote,320,Maintain brand standards,What’s the job?,,,,Establish and maintain brand guidelines and creative standards,From the Trust Wallet role description.,,,,,,,,,,tech-company|startup|pace|brand-quality|ambiguity,Trust Wallet job offer item: quote card
006,tw-go-to-market-creative,show,trustwallet,trust-wallet-cross-functional,,0,18,,quote,320,Partner on go-to-market creative,What’s the job?,,,,Partner with marketing on go-to-market creative,From the Trust Wallet role description.,,,,,,,,,,go-to-market|marketing|creative-direction|campaigns,Trust Wallet job offer item: quote card
007,tw-senior-leadership-presentation,show,trustwallet,trust-wallet-cross-functional,,0,17,,quote,320,Present creative strategy,What’s the job?,,,,Present creative work and strategy to senior leadership,From the Trust Wallet role description.,,,,,,,,,,presentation|strategy|leadership|creative-rationale,Trust Wallet job offer item: quote card
008,tw-agencies-freelancers,show,trustwallet,trust-wallet-cross-functional,,0,12,,quote,320,Manage external creative partners,What’s the job?,,,,Manage external agencies and freelancers when needed,From the Trust Wallet role description.,,,,,,,,,,agencies|freelancers|creative-operations|ownership,Trust Wallet job offer item: quote card
009,tw-motion-design-sensibility,show,trustwallet,trust-wallet-craft,,0,14,,quote,320,Motion design sensibility,About you,,,,"Motion design sensibility, given there is a motion designer on the team.",From the Trust Wallet role description.,,,,,,,,,,motion-design|craft|creative-direction|visual-quality,Trust Wallet job offer item: quote card
010,tw-clear-creative-communication,show,trustwallet,trust-wallet-cross-functional,,0,15,,text-image-ext,320,Clear creative communication,About you,"Strong communicator who can articulate creative decisions clearly to teams, partners, and senior stakeholders.",,,,,ds_trustwallet_cardimage_2.png,,,,,,,,,communication|creative-rationale|stakeholders|leadership,Trust Wallet job offer item
